Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Female
2010,0,Total,2,Female,0,Total,14,Chautauqua,68396
2010,0,Total,2,Female,0,Total,15,Chemung,44659
2010,0,Total,2,Female,0,Total,16,Chenango,25341
2010,0,Total,2,Female,0,Total,17,Clinton,40031
2010,0,Total,2,Female,0,Total,18,Columbia,31335
2010,0,Total,2,Female,0,Total,19,Cortland,25243
2010,0,Total,2,Female,0,Total,20,Delaware,23884
2010,0,Total,2,Female,0,Total,21,Dutchess,149376
2010,0,Total,2,Female,0,Total,22,Erie,476069
2010,0,Total,2,Female,0,Total,23,Essex,18979
2010,0,Total,2,Female,0,Total,24,Franklin,23263
2010,0,Total,2,Female,0,Total,25,Fulton,28066
2010,0,Total,2,Female,0,Total,26,Genesee,30323
2010,0,Total,2,Female,0,Total,27,Greene,23541
